,store_id,product_id,date,units_sold,sales_revenue_usd,discount_percentage,marketing_spend_usd,store_location,product_category,day_of_week,holiday_effect
0,Spearsland,52372247,2022-01-01,9,2741.69,20,81.0,tanzania,furniture,saturday,False
1,Spearsland,52372247,2022-01-02,7,2665.53,0,0.0,mauritania,furniture,sunday,False
2,Spearsland,52372247,2022-01-03,1,380.79,0,0.0,saint pierre and miquelon,furniture,monday,False
3,Spearsland,52372247,2022-01-04,4,1523.16,0,0.0,australia,furniture,tuesday,False
4,Spearsland,52372247,2022-01-05,2,761.58,0,0.0,swaziland,furniture,wednesday,False
5,Spearsland,52372247,2022-01-06,8,3046.32,0,41.0,bhutan,furniture,thursday,False
6,Spearsland,52372247,2022-01-07,6,2284.74,0,0.0,suriname,furniture,friday,False
7,Spearsland,52372247,2022-01-08,9,3427.11,0,83.0,taiwan,furniture,saturday,False
8,Spearsland,52372247,2022-01-09,7,2665.53,0,0.0,papua new guinea,furniture,sunday,False
9,Spearsland,52372247,2022-01-10,1,380.79,0,164.0,canada,furniture,monday,False
10,Spearsland,52372247,2022-01-11,4,1523.16,0,61.0,vietnam,furniture,tuesday,False
11,Spearsland,52372247,2022-01-12,6,2284.74,0,0.0,cocos (keeling) islands,furniture,wednesday,False
12,Spearsland,52372247,2022-01-13,3,971.01,15,197.0,lebanon,furniture,thursday,False
13,Spearsland,52372247,2022-01-14,6,2284.74,0,0.0,luxembourg,furniture,friday,False
14,Spearsland,52372247,2022-01-15,3,971.01,15,163.0,french guiana,furniture,saturday,False
15,Spearsland,52372247,2022-01-16,2,761.58,0,160.0,paraguay,furniture,sunday,False
16,Spearsland,52372247,2022-01-17,8,3046.32,0,0.0,nauru,furniture,monday,False
17,Spearsland,52372247,2022-01-18,6,2284.74,0,0.0,italy,furniture,tuesday,False
18,Spearsland,52372247,2022-01-19,13,4950.27,0,188.0,saint helena,furniture,wednesday,False
19,Spearsland,52372247,2022-01-20,5,1903.95,0,0.0,portugal,furniture,thursday,False
20,Spearsland,52372247,2022-01-21,3,913.9,20,7.0,french southern territories,furniture,friday,False
21,Spearsland,52372247,2022-01-22,9,3427.11,0,171.0,colombia,furniture,saturday,False
22,Spearsland,52372247,2022-01-23,5,1903.95,0,180.0,switzerland,furniture,sunday,False
23,Spearsland,52372247,2022-01-24,4,1370.84,10,24.0,mali,furniture,monday,False
24,Spearsland,52372247,2022-01-25,4,1523.16,0,126.0,reunion,furniture,tuesday,False
25,Spearsland,52372247,2022-01-26,12,4569.48,0,0.0,romania,furniture,wednesday,False
26,Spearsland,52372247,2022-01-27,6,2284.74,0,152.0,dominican republic,furniture,thursday,False
27,Spearsland,52372247,2022-01-28,5,1903.95,0,0.0,switzerland,furniture,friday,False
28,Spearsland,52372247,2022-01-29,7,2665.53,0,0.0,sweden,furniture,saturday,False
29,Spearsland,52372247,2022-01-30,5,1903.95,0,57.0,kiribati,furniture,sunday,False
30,Spearsland,52372247,2022-01-31,1,380.79,0,0.0,antigua and barbuda,furniture,monday,False
31,Spearsland,52372247,2022-02-01,4,1523.16,0,0.0,czech republic,furniture,tuesday,False
32,Spearsland,52372247,2022-02-02,7,2665.53,0,0.0,mauritius,furniture,wednesday,False
33,Spearsland,52372247,2022-02-03,1,380.79,0,189.0,congo,furniture,thursday,False
34,Spearsland,52372247,2022-02-04,5,1903.95,0,9.0,bouvet island (bouvetoya),furniture,friday,False
35,Spearsland,52372247,2022-02-05,3,1142.37,0,0.0,hong kong,furniture,saturday,False
36,Spearsland,52372247,2022-02-06,13,4950.27,0,0.0,hong kong,furniture,sunday,False
37,Spearsland,52372247,2022-02-07,5,1903.95,0,34.0,slovenia,furniture,monday,False
38,Spearsland,52372247,2022-02-08,5,1903.95,0,0.0,antarctica (the territory south of 60 deg s),furniture,tuesday,False
39,Spearsland,52372247,2022-02-09,3,1142.37,0,0.0,trinidad and tobago,furniture,wednesday,False
40,Spearsland,52372247,2022-02-10,5,1903.95,0,0.0,oman,furniture,thursday,False
41,Spearsland,52372247,2022-02-11,5,1903.95,0,85.0,lithuania,furniture,friday,False
42,Spearsland,52372247,2022-02-12,2,761.58,0,0.0,tokelau,furniture,saturday,False
43,Spearsland,52372247,2022-02-13,6,1942.03,15,122.0,northern mariana islands,furniture,sunday,False
44,Spearsland,52372247,2022-02-14,7,2665.53,0,0.0,antigua and barbuda,furniture,monday,False
45,Spearsland,52372247,2022-02-15,11,4188.69,0,135.0,sierra leone,furniture,tuesday,False
46,Spearsland,52372247,2022-02-16,7,2665.53,0,0.0,libyan arab jamahiriya,furniture,wednesday,False
47,Spearsland,52372247,2022-02-17,4,1523.16,0,199.0,cocos (keeling) islands,furniture,thursday,False
48,Spearsland,52372247,2022-02-18,6,2284.74,0,133.0,jersey,furniture,friday,False
49,Spearsland,52372247,2022-02-19,5,1903.95,0,0.0,saudi arabia,furniture,saturday,False
50,Spearsland,52372247,2022-02-20,3,1142.37,0,0.0,united states of america,furniture,sunday,False
51,Spearsland,52372247,2022-02-21,3,1142.37,0,0.0,germany,furniture,monday,False
52,Spearsland,52372247,2022-02-22,5,1903.95,0,40.0,sierra leone,furniture,tuesday,False
53,Spearsland,52372247,2022-02-23,2,609.26,20,0.0,nauru,furniture,wednesday,False
54,Spearsland,52372247,2022-02-24,11,4188.69,0,0.0,lithuania,furniture,thursday,False
55,Spearsland,52372247,2022-02-25,7,2665.53,0,54.0,saint barthelemy,furniture,friday,False
56,Spearsland,52372247,2022-02-26,13,4950.27,0,0.0,montenegro,furniture,saturday,False
57,Spearsland,52372247,2022-02-27,5,1903.95,0,0.0,tanzania,furniture,sunday,False
58,Spearsland,52372247,2022-02-28,7,2132.42,20,0.0,tuvalu,furniture,monday,False
59,Spearsland,52372247,2022-03-01,3,1142.37,0,0.0,micronesia,furniture,tuesday,False
60,Spearsland,52372247,2022-03-02,7,2665.53,0,0.0,netherlands,furniture,wednesday,False
61,Spearsland,52372247,2022-03-03,6,2284.74,0,0.0,swaziland,furniture,thursday,False
62,Spearsland,52372247,2022-03-04,2,685.42,10,7.0,mexico,furniture,friday,False
63,Spearsland,52372247,2022-03-05,9,3427.11,0,169.0,kiribati,furniture,saturday,False
64,Spearsland,52372247,2022-03-06,2,761.58,0,33.0,puerto rico,furniture,sunday,False
65,Spearsland,52372247,2022-03-07,3,1142.37,0,0.0,lebanon,furniture,monday,False
66,Spearsland,52372247,2022-03-08,3,1142.37,0,98.0,palestinian territory,furniture,tuesday,False
67,Spearsland,52372247,2022-03-09,4,1523.16,0,108.0,slovenia,furniture,wednesday,False
68,Spearsland,52372247,2022-03-10,2,761.58,0,0.0,tokelau,furniture,thursday,False
69,Spearsland,52372247,2022-03-11,4,1218.53,20,38.0,haiti,furniture,friday,False
70,Spearsland,52372247,2022-03-12,3,1142.37,0,0.0,sri lanka,furniture,saturday,False
71,Spearsland,52372247,2022-03-13,7,2665.53,0,168.0,tanzania,furniture,sunday,False
72,Spearsland,52372247,2022-03-14,7,2265.7,15,0.0,french polynesia,furniture,monday,False
73,Spearsland,52372247,2022-03-15,2,761.58,0,30.0,isle of man,furniture,tuesday,False
74,Spearsland,52372247,2022-03-16,7,2398.98,10,0.0,reunion,furniture,wednesday,False
75,Spearsland,52372247,2022-03-17,7,2665.53,0,0.0,christmas island,furniture,thursday,False
76,Spearsland,52372247,2022-03-18,6,2284.74,0,4.0,martinique,furniture,friday,False
77,Spearsland,52372247,2022-03-19,5,1903.95,0,0.0,kyrgyz republic,furniture,saturday,False
78,Spearsland,52372247,2022-03-20,9,3427.11,0,0.0,saudi arabia,furniture,sunday,False
79,Spearsland,52372247,2022-03-21,3,1142.37,0,104.0,thailand,furniture,monday,False
80,Spearsland,52372247,2022-03-22,7,2665.53,0,0.0,seychelles,furniture,tuesday,False
81,Spearsland,52372247,2022-03-23,8,3046.32,0,103.0,algeria,furniture,wednesday,False
82,Spearsland,52372247,2022-03-24,5,1903.95,0,0.0,botswana,furniture,thursday,False
83,Spearsland,52372247,2022-03-25,5,1903.95,0,85.0,jamaica,furniture,friday,False
84,Spearsland,52372247,2022-03-26,6,2284.74,0,0.0,slovakia (slovak republic),furniture,saturday,False
85,Spearsland,52372247,2022-03-27,6,2284.74,0,0.0,anguilla,furniture,sunday,False
86,Spearsland,52372247,2022-03-28,7,2665.53,0,0.0,el salvador,furniture,monday,False
87,Spearsland,52372247,2022-03-29,2,761.58,0,0.0,macao,furniture,tuesday,False
88,Spearsland,52372247,2022-03-30,3,1142.37,0,0.0,colombia,furniture,wednesday,False
89,Spearsland,52372247,2022-03-31,2,761.58,0,0.0,congo,furniture,thursday,False
90,Spearsland,52372247,2022-04-01,4,1523.16,0,0.0,faroe islands,furniture,friday,False
